source_id,alias,source_path,target_path,status,authority,operation,source_sha256,target_sha256,note
S001,,01_project_core/CLAUDE_PROJECT_INSTRUCTIONS.md,99_SOURCE_ARCHIVE_INDEX/01_project_core/CLAUDE_PROJECT_INSTRUCTIONS.md,REFERENCE,REFERENCE,COPY,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,原始导出/清单/元数据副本；容器不整体继承其中所载文本的权威。
S002,,01_project_core/CLAUDE_PROJECT_MEMORY.md,03_UNRESOLVED/01_project_core/CLAUDE_PROJECT_MEMORY.md,UNRESOLVED,CLAUDE_MEMORY,COPY,f5e3b3f25fc6d90f2279c8c68fb201c7f7fe1618b812321c0a8cd1243f538929,f5e3b3f25fc6d90f2279c8c68fb201c7f7fe1618b812321c0a8cd1243f538929,整文件状态未决；条款优先级另见冲突/改进版映射，不整份升格或废弃。
S003,,01_project_core/PROJECT_METADATA.json,99_SOURCE_ARCHIVE_INDEX/01_project_core/PROJECT_METADATA.json,REFERENCE,REFERENCE,COPY,629a60aa1b2ab4a556afe68554d6529da06710250884149f5aa6ca314ad84b14,629a60aa1b2ab4a556afe68554d6529da06710250884149f5aa6ca314ad84b14,原始导出/清单/元数据副本；容器不整体继承其中所载文本的权威。
S004,,02_project_knowledge/PROJECT_FILES_MANIFEST.csv,99_SOURCE_ARCHIVE_INDEX/02_project_knowledge/PROJECT_FILES_MANIFEST.csv,REFERENCE,REFERENCE,COPY,0f2e45970ad673c9c7cd38d06bd8c34e9f0eb32b01a87080191dc5859c03a9d0,0f2e45970ad673c9c7cd38d06bd8c34e9f0eb32b01a87080191dc5859c03a9d0,原始导出/清单/元数据副本；容器不整体继承其中所载文本的权威。
S005,K19,02_project_knowledge/内务治安部组织架构_草案_v2_2_.md,01_CURRENT_CANON/司法监察与治安/内务治安部组织架构_草案_v2_2_.md,CURRENT_CANON,CURRENT_CANON,COPY,fc8d64333d2e18c0a6aad3eb764613b679f349e97cc2111a58d51262e2555c91,fc8d64333d2e18c0a6aad3eb764613b679f349e97cc2111a58d51262e2555c91,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S006,K22,02_project_knowledge/制度审计报告_v3_0.md,04_REFERENCE/02_project_knowledge/制度审计报告_v3_0.md,REFERENCE,REFERENCE,COPY,4b36fd89cbb96a5566a043303bb0a08369a125b2e33fb8202506b80855951c14,4b36fd89cbb96a5566a043303bb0a08369a125b2e33fb8202506b80855951c14,原著、参考附件、包装元数据或其他非正式正文。
S007,K07,02_project_knowledge/大图书馆相关.txt,04_REFERENCE/02_project_knowledge/大图书馆相关.txt,REFERENCE,REFERENCE,COPY,5908ddf9361a73690b2b46bfb261bbd31b0a9892583f4cd11dee6f01102eb940,5908ddf9361a73690b2b46bfb261bbd31b0a9892583f4cd11dee6f01102eb940,原著、参考附件、包装元数据或其他非正式正文。
S008,K29,02_project_knowledge/大图书馆章程_v1_8.md,01_CURRENT_CANON/学术与研究机构/大图书馆章程_v1_8.md,CURRENT_CANON,CURRENT_CANON,COPY,0cafca1c149a408a30ff3f8f0b5ca97a862a27f662bebe8c6a9949922712a3cd,0cafca1c149a408a30ff3f8f0b5ca97a862a27f662bebe8c6a9949922712a3cd,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S009,K04,02_project_knowledge/大魔潮片段.txt,04_REFERENCE/02_project_knowledge/大魔潮片段.txt,REFERENCE,REFERENCE,COPY,88ac5799c40867f80d3c4f8d35212fcea6d65cce890ba0b39275d0429af88a4d,88ac5799c40867f80d3c4f8d35212fcea6d65cce890ba0b39275d0429af88a4d,原著、参考附件、包装元数据或其他非正式正文。
S010,K24,02_project_knowledge/布加联盟储备系统章程_草案_v1_1_.md,01_CURRENT_CANON/财政货币与经济/布加联盟储备系统章程_草案_v1_1_.md,CURRENT_CANON,CURRENT_CANON,COPY,eed6cfede6ba556cc65fc5407407eec3f85ec3fb88740f436381e45231b79b50,eed6cfede6ba556cc65fc5407407eec3f85ec3fb88740f436381e45231b79b50,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S011,K05,02_project_knowledge/月份相关.txt,04_REFERENCE/02_project_knowledge/月份相关.txt,REFERENCE,REFERENCE,COPY,0c2085c7e470b46d43dcf4ad97d7633e57d521c9811ff3502c4720cb1850f12e,0c2085c7e470b46d43dcf4ad97d7633e57d521c9811ff3502c4720cb1850f12e,原著、参考附件、包装元数据或其他非正式正文。
S074,H01,02_project_knowledge/法术环级标准_修订稿_v1_1.md,05_SUPERSEDED/02_project_knowledge/法术环级标准_修订稿_v1_1.md,SUPERSEDED,historical text,COPY,e8af87aa923a1227bdba5152a7cb9f5d96a3bd4c4c011a661289d3e7e8afce1c,e8af87aa923a1227bdba5152a7cb9f5d96a3bd4c4c011a661289d3e7e8afce1c,有明确后续替代关系的旧正文；保留沿革。
